Date,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CZK,DKK,DOP,EUR,GBP,HKD,HRK,HUF,INR,IDR,IRR,JPY,KES,MAD,MXN,MYR,NGN,NOK,NZD,PEN,PHP,PKR,PLN,RON,RUB,SAR,SEK,SGD,THB,TRY,TZS,UAH,USD,VEF,VND,ZAR
8/10/2013,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2013,,,,,,,,,,874.19,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2013,,,,,,,,,,1000,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2013,,,942.18,,,,,,,368.6,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2013,,,713.13,,,,,,,1000,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2013,,,579.78,,,,,,,233.02,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2013,,,588.26,,,,,,,739.11,,,,,,,,,,,749.95,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2013,,,373.38,,,,,,,324.38,,,945.25,,,,,,,,401.51,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2013,,,355.84,,1000,1000,,,,234.84,,,682.91,,,,,,,,187.71,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2013,,,518.09,,752.98,1000,,,,256.17,,,809.07,585.35,,,915.2,,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2013,,,650.7,,536.41,870.44,,,,628.04,,,644.11,700.86,,,1000,,,,9.22,,,,,,,,,,,,,,,,1000,1000,,,,,,,
10/26/2013,,,437.47,,397.61,717.15,,,,273.87,1000,,497.31,651.72,,,681.82,,,,324.2,,,,,,,,,,,,,,,,1000,710.05,,,,,,,
11/2/2013,,1000,714.02,,1000,1000,,,,1000,750.54,,939.92,1000,,,1000,,,,155.54,,,1000,,,,,,1000,,,1000,,,,690.37,367.02,,,,825.8,,,
11/9/2013,,1000,944.68,,1000,631.47,,,,1000,903.33,,1000,1000,1000,,501.67,,1000,,17.36,,,1000,,,,,,1000,,1000,1000,,,,806.82,710.8,,,,744.89,,,
11/16/2013,,1000,999.07,,1000,1000,1000,,,1000,158.75,,916.93,1000,1000,,1000,,1000,,1000,,,559.93,,,1000,1000,,1000,,819.62,1000,,,,793.97,1000,,,,867.79,,,
11/23/2013,1000,1000,1000,1000,1000,1000,1000,,,1000,563.74,,1000,1000,1000,,1000,,891.24,,1000,,,972.06,,,1000,1000,,1000,,1000,766.33,,,,1000,946.62,,,,807.33,,,
11/30/2013,1000,903.93,974.02,464.72,790.39,1000,1000,,,1000,448.58,,977.84,893.69,938.57,1000,872.1,,719.31,,698.29,,,679.78,,,1000,1000,,889.15,,1000,562.57,,,,2.03,993.75,,,,673.35,,,
12/7/2013,1000,789.42,410.74,382.05,541.52,339.54,678.03,,,694.06,161.81,,405.7,439.93,639.56,1000,436.77,,439.54,,557.99,,,353.95,,,314.53,567.55,,786.9,,279.86,361.76,,,,236.04,976.14,,,,475.63,,,
12/14/2013,110.52,504.77,406.37,728.95,387.07,353.18,414.86,,,629.8,869.89,,342.98,395.9,472.89,337.54,715.19,,33.03,,467.96,,,559.58,,,303.48,423.69,,671.36,,174.34,373.52,,,,560.42,474.82,,,,486.77,,,
12/21/2013,262.06,114.64,173.98,252.11,179.72,40.39,217.88,,,62.08,624.03,,144.01,145.45,148.67,224.7,60.35,,37.27,,233.28,,,548.66,,,131.68,425.18,,155.87,,205.67,243.87,,,,169.49,252.4,,,,311.08,,,
12/28/2013,341.07,270.46,195.41,158.37,225.29,172.83,187.27,,,221,470.79,,277.14,229.94,81.27,27.77,277.22,,109.01,,451.61,,,876.02,,,222.16,291.87,,250.1,,434.26,114.58,,,1000,230.29,305.45,,,,414.52,,,
1/4/2014,431.22,380.07,313.27,399.02,339.61,476.56,303.7,,,364.84,673.18,,375.38,383.54,310.32,112.53,271.15,,248.14,,1000,,,1000,,,473,310.93,,654.62,,184.19,1000,,,665.24,561.48,365.23,,,,532.62,,,
1/11/2014,1000,277,591.42,1000,439.87,483.27,337.26,,,431.1,69.43,,326.39,342.28,316.35,310.04,543.93,,452.24,,979.57,,,1000,,,419.47,548.67,,265.52,,330.37,737.48,,,335.69,721.93,425.81,,,,599.64,,,
1/18/2014,386.39,302.21,727.88,476.48,668.66,539.38,1000,,,661.78,318.42,,429.11,451.68,378.55,262.38,89.4,997.37,472.23,,109.54,,,250.42,,,335.22,752.87,,397.82,,1000,264.42,,,569.26,1000,497.14,,,,613.36,,,
1/25/2014,481,807.65,537.8,771.37,529.24,1000,309.77,,,684.97,1000,,580.43,503.87,539.32,1000,276.81,627.82,434.2,,288.94,,,426.85,,,372.45,388.97,,753.11,,678.08,339.46,,,454.07,602.53,545.77,,,,536.98,,,
2/1/2014,261.68,836.15,796.3,942.3,626.06,833.99,290.38,,,998.93,501.67,,806.23,561.47,1000,627.54,1000,526.54,1000,,757.95,,,443.44,,,540.27,482.06,,313.87,,210.33,579.36,,,340.89,304.66,1000,,,,611.47,,,
2/8/2014,339.4,418.04,426.34,525.33,534.53,531.19,361.32,,,281.78,392.02,,607.65,565.31,860.28,960.22,634.33,387.76,1000,1000,111.55,,,511.38,,,136.66,648.62,,572.42,,158.46,218.08,,,218.68,636.72,563.92,,,,406.44,,,
2/15/2014,387.82,456.15,369.2,816.17,354.48,315.55,262.49,,,203.94,392.1,,497.14,416.02,552.54,378.64,285.72,346.36,240.32,474.87,58.06,,,252.52,,,261.79,679.91,,227.91,,157.89,62.37,,,368.52,214.05,484.14,,,,408.92,,,
2/22/2014,306.26,442.59,478.27,1000,349.02,437.97,1000,,,353.3,230.3,,452.04,494.16,633.4,965.15,155.04,275.38,352.69,616.03,21.76,,,279.2,,,403.43,359.22,,139.91,,858.32,305.36,,,549.49,512.28,400.38,,,,477.27,,,
3/1/2014,341.1,523.22,501.8,226.96,450.71,500.75,124.03,,,232.55,815.63,,543.41,496.2,134.38,298.67,121.68,594.14,463.65,716.28,248.2,,,331.5,,,519.91,347.31,,491.87,,275.14,516.45,,,242.2,455.24,566.23,,,,542.9,,,
3/8/2014,94.11,235.86,541.84,1000,481.63,247.89,97.11,,,329.32,159.16,,471.84,363.63,199.71,401.84,127.04,396.89,538.07,629.4,181.81,,,186.6,,,274.49,267.1,,234.2,,595.79,157.82,,,580.15,171.28,339.85,,,,550.25,,,
3/15/2014,485.29,277.85,486.96,251.68,455.11,170.22,163.56,,,496.87,1000,,392.89,358.69,314.36,264.16,318.1,287.34,569.61,584.16,408.68,,,334.01,,,671.7,414.35,,411.43,,881.48,417.62,,,711.75,523.16,344.22,,,,515.19,,,
3/22/2014,432.8,648.43,507.65,148.14,438.47,521.38,268.24,,,442.32,1000,,343.33,388.06,365.36,1000,413.91,369.84,513.12,472.03,832.05,,,332.33,,,506.43,429.4,,228.9,,634.87,466.96,,,708.69,261.2,418.05,,,,540.3,,,
3/29/2014,118.77,409.52,372.06,152.74,443.39,681.54,219.86,,,656.69,622.97,,383.46,478.04,599.21,188.67,17.58,243.61,552.38,393.6,784.89,,,527.03,,,788.59,383.17,,219.13,,772.43,625.84,,,530.66,171.3,859.46,,,,536.57,,,
4/5/2014,161.81,421.31,594.84,93.84,399.37,360.27,510.65,,,302.75,426.37,,471.5,368.82,343.32,217.08,683.77,357.9,433.41,285.81,110.02,,,457.82,,,399.79,484.37,,1000,,316.72,434.62,,,666.45,185.08,448.65,,,,546.66,,,
4/12/2014,218.2,451.44,499,159.16,386.63,231.49,699.01,,,495.27,106.94,,450.57,533.91,316.55,238.74,1000,472.6,353,294.05,321.19,,,615.13,,,400.52,482.19,,151.86,,292.61,476.41,,,588.68,288.18,610.03,,,,547.92,,,
4/19/2014,154.13,798.18,406.38,138.82,386.42,170.2,194.64,,,260.78,69.27,,426,416.97,71.68,137.34,757,769.83,293.54,320.73,166.84,,,764.03,,,943.02,282.21,,832.83,,335.72,352.95,,,468.59,344.84,513.43,,,,525.67,,,
4/26/2014,40.59,376.82,532.89,305.84,497.06,398.56,585.93,,,281.86,132.9,,391.1,476.94,261.2,1000,239.08,833.84,245.6,355.15,247.43,,,811.1,,,508.65,349.89,,781.69,,439.15,441.47,,,362.56,117.4,724.38,,,,492.4,,,
5/3/2014,473.14,397.05,520.05,1000,459.72,555.36,176.92,,,323.94,194.25,,497.44,477.03,275.31,206.71,246.37,721.78,202.33,401.11,77.99,,,388.98,,,309.88,546.93,,419.96,,169.1,401.56,,,468.26,288.04,356.17,,,,480.71,,,
5/10/2014,1000,592.66,657.29,315.32,515.02,557.55,115.67,,,563.34,1000,,641.84,463.16,309.85,610.11,422.15,535.97,141.32,440.14,104.1,,,468.22,,,393.43,637.5,,1000,,662.21,457.92,,,494.06,290.67,412.46,,,,474.65,,,
5/17/2014,1000,1000,593.1,662.64,509.53,536.05,577.07,,,1000,1000,,543.92,583.15,460.12,448.81,151.9,755.54,48.86,687.89,320.29,,,610.88,,,536.65,635.13,,981.08,,1000,375.99,,,514.54,767.07,609.74,,,,561.81,,,
5/24/2014,1000,346.28,688.88,1000,818.94,757.47,381.97,,,841.06,1000,,595.74,683.98,380.61,341.34,569.84,593.84,597.98,856.09,963.03,,,976.53,,,407.19,773.57,,431.04,,1000,972.99,,,846.3,358.24,428.38,,,,512.45,,,
5/31/2014,1000,674.81,735.26,816.25,660.59,855.66,256.49,,,366.76,419.31,,622.52,697.36,759.7,1000,184.02,324.73,523.18,944.06,1000,,,497.87,,,629.63,664.48,,277.57,,595.25,447.81,,,746.09,1000,294.97,,,,602.07,,,
6/7/2014,1000,469.09,444.69,457.54,545.35,320.02,876.09,,,365.81,57.81,,573.51,660.44,338.73,777.62,1000,503.16,419.53,959.89,1000,,,395.01,,,521.44,366.67,,612.02,,856.23,592.22,,,780.69,607.63,661.67,,,,663.17,,,
6/14/2014,23.08,255.48,477.92,780.46,680.77,354.96,423.41,,,331.28,303.39,,472.91,607.27,1000,352.72,1000,499.77,280.81,601.02,1000,,,440.89,,,779.82,597.22,,357.84,,1000,329.68,,,618.63,450.1,656.28,,,,577.96,,,
6/21/2014,60.87,644.82,435.47,428.04,407.47,599.17,577.94,,,177.37,136.59,,494.27,531.54,267.24,558.87,274.01,476.29,347.33,365.05,690.77,,,271.91,,,830.88,437.91,,225.08,,604.31,286.22,,,692.01,271.59,608.42,,,,511.72,,,
