Index,Date,NAM,SAM,EURGB,CHINA,RUS,ASIA,AFR,OTHER
1,3/9/2013,0.254557153,0,0.626299804,0,0,0.099480351,0,0.019662692
2,3/16/2013,0.186333885,0.002522183,0.658956211,0,0,0.132707057,0,0.019480663
3,3/23/2013,0.152968249,0.003108462,0.671890227,0,8.84132E-05,0.154197055,0,0.017747594
4,3/30/2013,0.158287458,0.00287218,0.675881312,0.006104146,0.00055482,0.140585552,0,0.015714532
5,4/6/2013,0.16296466,0.002483677,0.660209614,0.006860119,0.000461141,0.150816809,0,0.01620398
6,4/13/2013,0.154284184,0.002225139,0.660404917,0.006054682,0.000410916,0.158348879,0,0.018271283
7,4/20/2013,0.1254,0.0026,0.6879,0.0065,0.0005,0.1598,0,0.0173
8,4/27/2013,0.127,0.0022,0.699,0.0066,0.0005,0.1481,0,0.0165
9,5/4/2013,0.1387,0.0021,0.6901,0.0067,0.0006,0.1419,0,0.0199
10,5/11/2013,0.1389,0.0026,0.6871,0.0028,0.0004,0.1461,0,0.0222
11,5/18/2013,0.1364,0.0032,0.7065,0.0014,0.0004,0.1313,0,0.0207
12,5/25/2013,0.1424,0.0034,0.7164,0.0012,0.0006,0.1177,0.0002,0.0181
13,6/1/2013,0.1651,0.0044,0.6868,0.0012,0.0006,0.1242,0.0004,0.0173
14,6/8/2013,0.1854,0.0042,0.6624,0.0015,0.0007,0.1292,0.0004,0.0163
15,6/15/2013,0.1983,0.0039,0.6559,0.0019,0.0008,0.1253,0.0006,0.0132
16,6/22/2013,0.2169,0.0041,0.6399,0.0026,0.0009,0.1232,0.0013,0.011
17,6/29/2013,0.2379,0.0044,0.6172,0.0026,0.001,0.1226,0.0026,0.0117
18,7/6/2013,0.2615,0.0062,0.5916,0.0031,0.0021,0.1203,0.0028,0.0124
19,7/13/2013,0.2914,0.0063,0.5677,0.0031,0.0039,0.1116,0.0034,0.0126
20,7/20/2013,0.3298,0.007,0.5311,0.003,0.0044,0.108,0.0039,0.0128
21,7/27/2013,0.3693,0.0078,0.4899,0.0025,0.0056,0.1085,0.0041,0.0123
22,8/3/2013,0.4094,0.0083,0.4527,0.0018,0.0054,0.1042,0.0038,0.0145
23,8/10/2013,0.4432,0.0084,0.423,0.0016,0.0053,0.1012,0.0029,0.0143
24,8/17/2013,0.4784,0.0074,0.3928,0.0012,0.0041,0.099,0.0029,0.0143
25,8/24/2013,0.4911,0.0066,0.377,0.001,0.0022,0.1045,0.0029,0.0147
26,8/31/2013,0.4868,0.0068,0.3724,0.0015,0.0015,0.1124,0.0031,0.0155
27,9/7/2013,0.4922,0.0068,0.3671,0.002,0.0003,0.1112,0.0037,0.0167
28,9/14/2013,0.4908,0.0065,0.3669,0.0022,0.0002,0.1144,0.0041,0.015
29,9/21/2013,0.4976,0.0062,0.3525,0.0032,0.0002,0.1197,0.0043,0.0163
30,9/28/2013,0.4961,0.0064,0.3532,0.0034,0.0005,0.1193,0.0046,0.0165
31,10/5/2013,0.4991,0.0073,0.3484,0.0045,0.0005,0.1168,0.0051,0.0183
32,10/12/2013,0.4999,0.0066,0.3549,0.004,0.0006,0.1092,0.006,0.0188
33,10/19/2013,0.49,0.0067,0.3657,0.0039,0.0008,0.1071,0.0059,0.0198
34,10/26/2013,0.4848,0.0062,0.3708,0.0039,0.0008,0.1044,0.0058,0.0234
35,11/2/2013,0.4627,0.0063,0.3973,0.0048,0.0009,0.0977,0.0057,0.0245
36,11/9/2013,0.441,0.0061,0.4177,0.0056,0.0007,0.098,0.0051,0.0259
37,11/16/2013,0.4165,0.0058,0.4428,0.0064,0.0006,0.0951,0.0048,0.0279
38,11/23/2013,0.3866,0.0071,0.4702,0.009,0.0006,0.0921,0.0038,0.0305
39,11/30/2013,0.3603,0.0075,0.4974,0.0111,0.0007,0.0878,0.0037,0.0316
40,12/7/2013,0.3355,0.0087,0.5179,0.0131,0.0011,0.0892,0.0038,0.0308
41,12/14/2013,0.3287,0.0092,0.5215,0.0133,0.001,0.0912,0.004,0.0311
42,12/21/2013,0.347,0.0094,0.5003,0.0135,0.0019,0.0928,0.0046,0.0305
43,12/28/2013,0.3605,0.0095,0.4906,0.0119,0.0025,0.0898,0.0045,0.0308
44,1/4/2014,0.3822,0.0094,0.47,0.0113,0.0025,0.0882,0.0053,0.0312
45,1/11/2014,0.413,0.01,0.4364,0.0098,0.0035,0.0902,0.0056,0.0316
46,1/18/2014,0.4326,0.0099,0.4135,0.0087,0.0032,0.0931,0.0067,0.0323
47,1/25/2014,0.4427,0.0103,0.3985,0.008,0.0049,0.0943,0.0075,0.0339
48,2/1/2014,0.434,0.0111,0.3988,0.0083,0.0053,0.0979,0.0089,0.0355
49,2/8/2014,0.4235,0.0115,0.4041,0.0097,0.006,0.1014,0.0098,0.0339
50,2/15/2014,0.4216,0.0119,0.4025,0.0097,0.0079,0.1054,0.0092,0.0318
51,2/22/2014,0.4097,0.0135,0.4129,0.011,0.0091,0.104,0.009,0.031
52,3/1/2014,0.4037,0.0132,0.4212,0.0105,0.0116,0.1018,0.0083,0.0297
53,3/8/2014,0.4119,0.0136,0.4134,0.0098,0.0137,0.1033,0.0077,0.0265
54,3/15/2014,0.4216,0.0127,0.4071,0.009,0.0163,0.101,0.0066,0.0258
55,3/22/2014,0.4429,0.0123,0.3841,0.0082,0.0175,0.1024,0.0065,0.0262
56,3/29/2014,0.4585,0.0113,0.371,0.0077,0.0164,0.1015,0.0064,0.0272
57,4/5/2014,0.4782,0.0086,0.3534,0.0062,0.0156,0.1056,0.0064,0.0259
58,4/12/2014,0.491,0.008,0.3435,0.0064,0.0146,0.1057,0.006,0.0249
59,4/19/2014,0.5026,0.0073,0.3356,0.0059,0.0127,0.1045,0.0063,0.0251
60,4/26/2014,0.5096,0.0073,0.3302,0.006,0.0099,0.1073,0.0061,0.0236
61,5/3/2014,0.5132,0.007,0.3308,0.0058,0.0086,0.1075,0.0051,0.0219
62,5/10/2014,0.5117,0.007,0.3264,0.0054,0.0095,0.1136,0.0056,0.0208
63,5/17/2014,0.5087,0.0076,0.3284,0.005,0.0094,0.1132,0.0067,0.021
64,5/24/2014,0.5009,0.0077,0.3304,0.0047,0.0093,0.1159,0.0087,0.0224
65,5/31/2014,0.4885,0.007,0.3377,0.0051,0.0094,0.1188,0.0101,0.0234
66,6/7/2014,0.4867,0.0067,0.3428,0.0045,0.01,0.1142,0.0113,0.0239
67,6/14/2014,0.4834,0.0064,0.3464,0.0044,0.0103,0.1136,0.0111,0.0244
68,6/21/2014,0.4828,0.0068,0.3522,0.0035,0.0108,0.1083,0.0109,0.0248
69,6/28/2014,0.483,0.0063,0.3547,0.0034,0.0135,0.1035,0.0097,0.0259
70,7/5/2014,0.4911,0.0062,0.3526,0.0034,0.0141,0.0999,0.0075,0.0252
71,7/12/2014,0.5033,0.0061,0.3416,0.0031,0.0148,0.1008,0.0055,0.0247
72,7/19/2014,0.5078,0.0066,0.331,0.0028,0.0159,0.1057,0.0045,0.0256
73,7/26/2014,0.5146,0.007,0.324,0.0023,0.0171,0.1037,0.0049,0.0265
74,8/2/2014,0.5201,0.0066,0.3157,0.0036,0.0187,0.1042,0.0051,0.0261
75,8/9/2014,0.5187,0.0068,0.3133,0.0037,0.0188,0.1077,0.0056,0.0254
