Currency,Headline,Link,Date,Index
CZK,"Czech Premier Resigns, Interim Government Likely",https://www.wsj.com/articles/SB10001424127887324021104578551280017220440,6/17/2013,23
CZK,"Czech Chamber of Deputies passes motion of dissolution, dissolving ruling coalition","https://en.wikipedia.org/wiki/Czech_legislative_election,_2013",8/20/2013,24
CZK,Up to 100 detained at anti-Roma rallies in Czech Republic ,https://www.rt.com/news/czechs-arrested-roma-demonstration-955/,8/25/2013,25
AUS,Tony Abbott claims Coalition election victory; Kevin Rudd steps down as Labor leader,http://www.abc.net.au/news/2013-09-07/tony-abbott-claims-election-victory/4943606,9/7/2013,26
CZK,"Czech Chamber of Deputies passes motion of dissolution, dissolving ruling coalition","https://en.wikipedia.org/wiki/Czech_legislative_election,_2013",8/20/2013,27
JPY,Third Round of Quantiative Easing Becomes Policy in post-crash Japan,https://www.economist.com/news/schools-brief/21586527-third-our-series-articles-financial-crisis-looks-unconventional,4/1/2013,28
EUR,Angela Merkel celebrates after German election win,http://www.bbc.com/news/world-europe-24197994,9/23/2013,30
EUR,"Notorious Darket site ""Silk Road"" taken down",https://tradeblock.com/blog/analysis-silk-roads-historical-impact-bitcoin/,10/2/2013,31
CAD,The Government of Canada signs a tentative free trade agreement with the European Union.,http://www.cbc.ca/news/politics/ceta-canada-eu-free-trade-deal-lauded-by-harper-barroso-1.2125122,10/18/2013,32
THB,2013–2014 Thai political crisis begins,https://en.wikipedia.org/wiki/2013%E2%80%932014_Thai_political_crisis,10/26/2013,33
DKK,Danish Local Elections result in major leadership shifts to conservative parties,"https://en.wikipedia.org/wiki/Danish_local_elections,_2013",11/19/2013,34
USD,CNN: China fuels Bitcoin surge to record high,http://money.cnn.com/2013/11/12/investing/bitcoin-record-high/index.html,11/12/2013,35
IDR,Confidence in Indonesia's Rupiah Declines,https://www.indonesia-investments.com/finance/financial-columns/analysis-of-the-indonesian-rupiah-exchange-rate-in-november-2013/item1366?,11/12/2013,36
PHP,CNN: Campaign for Aid to Philippines donated in Bitcoin gains notoriety,http://money.cnn.com/2013/11/13/investing/bitcoins-philippines-typhoon-donations/index.html,11/13/2013,37
CLP,Chilean General election signals dramatic shift toward socialist policies,"https://en.wikipedia.org/wiki/Chilean_general_election,_2013",11/17/2013,38
USD,"Mt Gox ""Willy Bot"" attributed with major Western country's Bitcoin Volume",https://www.coindesk.com/bot-named-willy-did-mt-goxs-automated-trading-pump-bitcoin-price/,11/23/2013,39
AUD,Central Banks across the world issue Bitcoin warning,https://www.coindesk.com/central-bank-new-zealand-australia-bitcoin-warning/,12/13/2013,40
THB,2013–2014 Thai political crisis begins,https://en.wikipedia.org/wiki/2013%E2%80%932014_Thai_political_crisis,10/26/2013,41
EUR,The bitcoin crash of 2013: Don't you feel silly now?,http://beta.latimes.com/business/hiltzik/la-fi-mh-the-bitcoin-crash-20131207-story.html,12/7/2013,42
USD,The bitcoin crash of 2013: Don't you feel silly now?,http://beta.latimes.com/business/hiltzik/la-fi-mh-the-bitcoin-crash-20131207-story.html,12/7/2013,43
SEK,"Sweden and Nordic Countries engage policy to regulate Bitcoin as an ""asset""",https://www.coindesk.com/sweden-regulate-bitcoin-asset/,1/22/2013,44
RON,Romanian Migrants now free to work in all EU countries,http://www.bbc.com/news/world-europe-25565302,1/1/2014,45
BRL,South America’s First Bitcoin ATM installed in Brazil,https://www.cryptocoinsnews.com/south-americas-first-bitcoin-atm/,1/20/2014,46
CLP,Chilean Nightclub to Pioneer Bitcoin in Latin America,https://panampost.com/joel-fensch/2014/01/07/nightclub-chile-bitcoin-pioneer-latin-america/,1/7/2014,47
HRK,Switzerland Rejects free movement of Croatian migrants,https://www.rt.com/news/switzerland-croatia-movement-reject-277/,2/16/2014,48
