Index,Date,BTCAED,BTCARS,BTCAUD,BTCBRL,BTCCAD,BTCCHF,BTCCLP,BTCCNY,BTCCOP,BTCCZK,BTCDKK,BTCDOP,BTCEUR,BTCGBP,BTCHKD,BTCHRK,BTCHUF,BTCINR,BTCIDR,BTCIRR,BTCJPY,BTCKES,BTCKZT,BTCMAD,BTCMXN,BTCMYR,BTCNGN,BTCNOK,BTCNZD,BTCPEN,BTCPHP,BTCPKR,BTCPLN,BTCRON,BTCRUB,BTCSAR,BTCSEK,BTCSGD,BTCTHB,BTCTRY,BTCTZS,BTCUAH,BTCUSD,BTCVEF,BTCVND,BTCZAR
1,3/9/2013,,,50.94,,51.44,,,,,,,,37.46,31.76,,,,,,,,,,,603.27,,,256,62.06,,,,,198.41,,,344.12,,,,,,52.19,,,
2,3/16/2013,,,60.62,133.14,69.87,,,,,,,,52.07,41.16,,,,4115.39,,,,,,,868.2,,,398.01,84.5,,,,,203,,,494.15,106.12,,,,,63.58,,,
3,3/23/2013,,,80.65,160.98,92.64,,,,,,,,68.99,61.8,,,,4948.16,,,,,,,992.8,,,662.83,106.93,,,,,400.8,2832.86,,563.29,144.9,2059.33,,,,90.29,,,
4,3/30/2013,,,122.66,188.82,132.13,,,,,,,,95.33,87.01,851.34,,,8006.05,,,,,,,1563,,,927.65,129.37,,4430.24,,,463.41,3197.42,,850.36,155.92,4088.62,,,,121.56,,,
5,4/6/2013,,,162.14,216.66,186.08,218.91,,,,5955.24,,,235.57,118.69,836.76,1264.63,,11917.58,,,,,,,2558.02,,,1192.48,226.07,,7724.57,,,797.62,7515,,1358.03,166.94,5198.02,,,,160.46,,,
6,4/13/2013,,598.2,97.5,244.5,106.77,77.32,,,,3069.7,769.73,,75.47,64.37,822.18,1067.61,,9997.44,,,,,,,2071.09,,,553.2,143.44,,6435.07,,,247.03,7134.73,,619.8,177.96,4606.6,,,,118.54,,,
7,4/20/2013,,881.77,136.21,250.47,147.4,148.43,,,,2459.11,741.77,,109.65,88.5,1234.66,870.59,,6463.44,,,,,,,1584.16,,,870.45,167.99,,5145.57,,,425.18,6754.45,,1491.68,188.98,4015.19,,,,148.47,,,
8,4/27/2013,,901.05,130.63,256.43,164.48,132.19,,,,2479.58,713.81,,98.52,80.82,1080.43,870.59,,6147.47,,,,,,,1329.38,,,723.71,175.8,,4970.06,,,603.33,6374.18,,1004.39,200,3867.76,,,,127.68,,,
9,5/4/2013,,712.35,114.48,262.4,121.91,116.91,,,,2520.51,685.84,,91.3,77.17,1025.5,786.08,,6810.67,,,,,,,1551.87,,,687.36,154.7,,4794.56,,,385.56,5993.9,,807.57,196.82,4296.36,,,,134.75,,,
10,5/11/2013,,975.78,120.75,268.37,118.5,120.64,,,,2520.51,679.41,,90.16,74.6,1026.97,701.56,,7807.69,1179266.67,,,,,,1427.74,,,708.49,163.55,,4619.05,,,378.11,5613.63,,865.03,193.64,3793.32,,,,124.19,,,
11,5/18/2013,,1034.58,126.05,274.33,128.33,129.08,,,,3323.05,672.98,,93.81,79.68,1028.44,715.38,,7998.5,1274509.68,,,,,,1505.5,,,755.05,164.13,,5135.66,,,551.65,5233.35,,986.29,190.45,3290.28,,,,131.18,,,1352.31
